,Name,Country,Brand,Categories,Type,Tasting Notes,ABV,IBU,Calories Per Serving (12 OZ/0.35L),Carbs Per Serving (12 OZ/0.35L),Food Pairing,Suggested Serving Temperature,Rating,Rate Count,Price,Volume,Description
304,Mikkeller Hop On Drink’In Berliner,Denmark,Mikkeller,"ALE, Berliner Weisse, Sour  Wild Ale",Craft Beer,,2.80%,,,,,45-50° F,5,1,$4.44 ,,Dry-hopped version of the regular Drink'in Berliner.
171,Evil Twin Sour Bikini,United States,Evil Twin,"ALE, Sour  Wild Ale",Craft Beer,,3%,,,,,45-50° F,5,1,$11.99 ,,"Named after atom bomb test grounds, designed by a French car engineer - the bikini was to many a disturbing and degrading creation and fortunately for others a symbol of emancipation. This is attractively light bodied, seductively well balanced and very drinkable Sour Bikini is anything but a sissy beer."
319,Mikkeller Brand New Normal,United States,Mikkeller,"ALE, Berliner Weisse, Sour  Wild Ale",Craft Beer,,3.20%,,,,,45-50° F,5,1,$12.99 ,,
181,Evil Twin Sanguinem Aurantiaco,United States,Evil Twin,"ALE, Sour  Wild Ale",Craft Beer,,3.25%,,,,,45-50° F,5,1,$10.99 ,,Sour ale with blood orange added.
317,Mikkeller Hallo Ich Bin Berliner Watermelon,Denmark,Mikkeller,"ALE, Berliner Weisse, Sour  Wild Ale",Craft Beer,,3.40%,,,,,45-50° F,5,1,$4.99 ,,Berliner-style Weisse beer brewed with Watermelon
1,Pipeworks Flower Child,United States,Pipeworks Brewing Company,"ALE, Wheat Ale",Craft Beer,,3.50%,,,,,,5,1,$7.99 ,,
176,Evil Twin James Beer,United States,Evil Twin,"ALE, Berliner Weisse, Sour  Wild Ale",Craft Beer,,3.50%,,,,,45-50° F,5,1,$11.99 ,,Berliner-style Weisse ale brewed with olives AND strawberries. This beer was inspired by a food dish with strawberries and nicoise olives.
296,Mikkeller Hallo Ich Bin Berliner Weisse Raspberry,Denmark,Mikkeller,"ALE, Berliner Weisse, Sour  Wild Ale",Craft Beer,,3.70%,,,,,45-50° F,5,1,$4.99 ,,
300,Mikkeller Hallo Ich Bin Berliner Weisse Cherry,Denmark,Mikkeller,"ALE, Berliner Weisse, Sour  Wild Ale",Craft Beer,,3.70%,,,,,45-50° F,5,1,$4.99 ,,"A super fruity sour with a pronounced cherry character and notes of yeast, citrus and redcurrant."
307,Mikkeller Hallo Ich Bin Berliner Weisse Passion Fruit,Denmark,Mikkeller,"ALE, Berliner Weisse, Sour  Wild Ale",Craft Beer,,3.70%,,,,,45-50° F,5,1,$5.01 ,,Berliner-style Weisse beer brewed with Passionfruit
315,Mikkeller Hallo Ich Bin Berliner Weisse Peach,Denmark,Mikkeller,"ALE, Berliner Weisse, Sour  Wild Ale",Craft Beer,,3.70%,,,,,45-50° F,5,1,$4.94 ,,"Crisp, refreshing and tart with a mellow peachy finish."
320,Mikkeller Ich Bin Berliner Weisse Blueberry,Denmark,Mikkeller,"ALE, Berliner Weisse, Sour  Wild Ale",Craft Beer,,3.70%,,,,,45-50° F,5,1,$4.99 ,,Berliner-style Weisse beer brewed with Blueberry
1,Pipeworks Blue Lady,United States,Pipeworks Brewing Company,"ALE, Wheat Ale",Craft Beer,,4%,,,,,,5,1,$8.99 ,,
172,Evil Twin Bushido Berliner Weisse Style Ale,United States,Evil Twin,"ALE, Berliner Weisse, Sour  Wild Ale",Craft Beer,,4%,,,,,45-50° F,5,1,$16.80 ,,Berliner style weisse ale with yuzu and chili added
174,Evil Twin Nomader Weisse,United States,Evil Twin,"ALE, Berliner Weisse, Sour  Wild Ale",Craft Beer,,4%,,,,,45-50° F,5,1,$10.99 ,,"Pouring the Nomader Weisse from its can, a bright and fizzy golden body just a few shades darker than the aluminum container itself emerges, converging into a medium-sized, bristling white head that dissipates in mere moments. A cloudy, sediment-speckled murkiness lingers in the center—a characteristic feature of any Berliner Weisse. With just a slight tilt of the glass towards the face, the beer’s pungent, sour aromas of lemon and Granny Smith apple come forth, but a tinge of sweet, malty wheat curtails the dominant sour smell so as not to prematurely overwhelm the drinker.    The nose doesn’t seem to stray too far for your standard Berliner Weisse, but just after taking the first sip of the Nomader Weisse, one begins to see how Evil Twin’s Jeppe Jarnit-Bjergsø left his nomadic mark on the landscape, or in this case, the Berliner Weisse style. The tangy notes of lemon and apple, just as in the nose, playfully bite at the drinker’s teeth on contact in typical Berliner fashion. However, the Nomader soon reveals Jeppe’s modern day tinkerings with slight hints of white grape, an effect akin to transporting a German Oktoberfest in its entirety right to America: somewhat bizarre, but still delicious."
