,Name,Country,Brand,Categories,Tasting Notes,ABV,Base Ingredient,Years Aged,Rating,Rate Count,Price,Volume,Description
342,Gordon & MacPhail Glen Grant 1965 42 Year,United Kingdom,Gordon  MacPhail,"Scotch Whisky, Whiskey",,40%,,42,5,1,$20.00 ,,This Rare Vintage Glen Grant was matured in refill sherry butts and American hogsheads.  This was distilled in 1965 and bottled in 2013.
61,Dek Crave Chocolate Chili,United States,DeKuyper Liqueur,"Chocolate, Sweet Liqueur, Liqueur",,15%,,,5,1,$10.00 ,,
159,Smirnoff Root Beer 100 proof,United States,Smirnoff Vodka,"American Vodka, Flavored Vodka, Vodka",,50%,,,3.3,3,$8.00 ,,"Whether you sip it on the rocks or with soda and a twist, Smirnoff Spiced Root Beer is the perfect addition to a cocktail party. Our 100 proof vodka is infused with a spiced root beer flavor for a sweet and malty taste. 

Triple distilled and 10 times filtered, our root beer specialty spirit is smooth enough to be taken alone or to add a delicious kick to your favorite mixed drink. Simply mix with soda, ginger ale or root beer. 

Founded in 1864, the Smirnoff brand traveled from Russia to the rest of the world due to our award-winning quality and smooth liquid. We pride ourselves on bringing our famous beverage to connoisseurs and newcomers alike, assuring the consistently great taste and quality expected from our traditionally distilled vodka. Please drink responsibly."
121,Bacardi Rum Grand Melon,Puerto Rico,Bacardi Rum,"Flavored Rum, Rum",,35%,,,5,1,$7.99 ,,
115,Bacardi Wolf Berry,Puerto Rico,Bacardi Rum,"Flavored Rum, Rum",,35%,,,5,1,$15.00 ,,"BACARDÍ® WOLF BERRY gets its unique flavor from infusing the juiciest blueberries with the subtle, sour sweetness of wolfberries, making for a sweet taste and tart bite."
63,"DeKuyper Holiday Candy Cane with Peppermint, Hot Damn, Razzmatazz and Buttershots",United States,DeKuyper Liqueur,Liqueur,,45%,,,5,1,$5.00 ,,
120,Bacardi Rum Fusion Mango,Puerto Rico,Bacardi Rum,"Flavored Rum, Rum",,35%,,,5,1,$5.99 ,,
11,DeKuyper 100 Proof Peppermint Schnapps Liqueur,United States,DeKuyper Liqueur,Liqueur,,50%,,,5,5,$8.79 ,,"DeKuyper® Peppermint Schnapps Liqueur infuses your cocktails with fresh peppermint flavor. Cool and refreshing, this delicious clear schnapps is made with peppermint extract. Perfect for holiday cocktails, this liqueur brings a smooth and minty note to any drink year-round"
353,Jose Cuervo Sparkling Lime Margarita,United States,Jose Cuervo,"Margarita Ready-to-Drink, Ready-to-Drink","Citrus, Tart",8%,,,5,14,$8.99 ,,"Jose Cuervo® Sparkling Margarita is a ready-to-drink sparkling margarita made with Jose Cuervo® tequila, triple sec, natural lime and citrus flavors. Chilled or on the rocks. Just pour and enjoy! (8% ABV – 16 proof). • Enjoy Cuervo® margaritas— anytime, anywhere. Easy, on-the-go packaging for many occasions with Classic Margarita in delicious Sparkling flavors in cans. No mixing required. • Jose Cuervo® Margaritas are the #1 Ready-to-Drink cocktails and the #1 Margarita in the USA."
53,"John DeKuyper , Sons Rouge Premium Raspberry Liqueur",United States,DeKuyper Liqueur,Liqueur,,16.50%,,,5,1,$9.99 ,,"Add something a little French to your cocktails with Rouge, a new raspberry liqueur with subtle notes of chocolate and the soft sweetness of dark berries."
